mode_label,test_mean,test_std,train_mean,train_std,wrong_mean,wrong_std
Random Genes,0.6255361748503446,0.05819461089082739,0.6271900549241259,0.061983905364865956,104.3,14.384018909887459
Selected Genes,0.9455427844336569,0.0165534756294509,0.9434153960411727,0.0035596850877860162,15.7,4.321779468896785
