mean,std,gene_subset
0.8466373653367021,0.0007080945863975341,ENSG00000197728;ENSG00000034510;ENSG00000100911;ENSG00000169442
0.8386799077303705,0.0017008794927576565,ENSG00000197728;ENSG00000034510;ENSG00000169442
0.8338675427493867,0.0014814843090923957,ENSG00000197728;ENSG00000034510;ENSG00000100911
0.82901809213839,0.0005155437467100343,ENSG00000197728;ENSG00000100911;ENSG00000169442
0.8250856049741662,0.0007368821001724757,ENSG00000197728;ENSG00000034510
0.7976234505683142,0.0013665634338424493,ENSG00000197728;ENSG00000169442
0.7939739931713564,0.01725815732884839,ENSG00000197728;ENSG00000100911
0.7805756390055363,0.00043475747820559407,ENSG00000034510;ENSG00000100911;ENSG00000169442
0.7644844770293389,0.00011681128757023984,ENSG00000100911;ENSG00000169442
0.7597562951066015,0.00010094808317084869,ENSG00000034510;ENSG00000169442
0.747804687520445,0.003445134743532363,ENSG00000034510;ENSG00000100911
0.7418383454241263,0.004946223570640229,ENSG00000197728
0.7268913186722675,0.00040186058493552057,ENSG00000034510
0.7057160912086603,0.0003048780487805436,ENSG00000169442
0.7008434791870323,0.000296033155713471,ENSG00000100911
